(b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00', 'abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon about')
(b'\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff', 'zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo wrong')
(b'\xab\xcd\xab\xcd\xab\xcd\xab\xcd\xab\xcd\xab\xcd\xab\xcd\xab\xcd', 'profit hood vibrant fiscal survey traffic quality rely soap fury helmet once')
(b'\xa5\xa5\xa5\xa5\xa5\xa5\xa5\xa5\xa5\xa5\xa5\xa5\xa5\xa5\xa5\xa5', 'pizza coffee harvest ensure fog spot notable regret pizza coffee harvest enjoy')
(b'\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa', 'primary fetch primary fetch primary fetch primary fetch primary fetch primary fever')
(b'UUUUUUUUUUUUUUUU', 'fetch primary fetch primary fetch primary fetch primary fetch primary fetch problem')
(b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00', 'abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon address')
(b'\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff', 'zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo wrist')
(b'\xab\xcd\xab\xcd\xab\xcd\xab\xcd\xab\xcd\xab\xcd\xab\xcd\xab\xcd\xab\xcd\xab\xcd', 'profit hood vibrant fiscal survey traffic quality rely soap fury helmet opera rubber sting crush')
(b'\xa5\xa5\xa5\xa5\xa5\xa5\xa5\xa5\xa5\xa5\xa5\xa5\xa5\xa5\xa5\xa5\xa5\xa5\xa5\xa5', 'pizza coffee harvest ensure fog spot notable regret pizza coffee harvest ensure fog spot nest')
(b'\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa', 'primary fetch primary fetch primary fetch primary fetch primary fetch primary fetch primary fetch prefer')
(b'UUUUUUUUUUUUUUUUUUUU', 'fetch primary fetch primary fetch primary fetch primary fetch primary fetch primary fetch primary feel')
(b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00', 'abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon agent')
